train_idx,text,label,label_text
65,set optical zoom shooting shooting video adjust digital zoom however due camera light weight camera shake problem contend,0,negative
66,overall micro solid device fell problem yet knock wood,1,positive
67,easy use small form factor look good boot,1,positive
68,battery life ok somewhat short working lot monitor,1,positive
69,attractive feature small size layout remote,1,positive
70,also easy empty,1,positive
71,although disabled norton antispam still,0,negative
72,must product new mom,1,positive
73,fm radio option listen music anytime,1,positive
74,far work fine either cable wireless connection,1,positive
75,loved broke le month acceptable period time something work,0,negative
76,problem button power button print share button nice click,0,negative
77,already emailed creative tech support gotten timely response fix necessary,1,positive
78,came price player hard beat,1,positive
79,bought one enjoyed date,1,positive
80,8 creative mediasource although sleek looking window medium player effective organizing collection linked good cb service gracenotes,1,positive
81,recent stop responding button,0,negative
82,found best result situation manual center auto focus manual mode iso 100 shorter aperture time often sharper image iso 50 auto white balance auto white balance better canon camera already well,1,positive
83,find bit difficult manage tiny button impossible read icon without reading glass,0,negative
84,sd500 focus flawlessly whine video picture razor sharp,1,positive
85,mobile text messaging chat picture sharing etc nicety would enjoy,1,positive
86,pro large hard drive 20gb 40gb affordable,1,positive
87,small light nice looking display decent well,1,positive
88,great phone easy use excellent network regret,1,positive
89,record memo using built microphone,1,positive
90,nice color screen,1,positive
91,sound quality also nice hooked sony headphone instead factory earbuds come,1,positive
92,scroll bar problem make task creating playlist frustrating,0,negative
93,multiple try one disk finally recognized video poor feature available,0,negative
94,anyway wife got birthday love thing,1,positive
95,phone one milestone history cellular phone,1,positive
96,however disappointed product symantec,0,negative
97,software great long administrative user account window xp,1,positive
98,mindless operate,1,positive
99,one thing default ringtones come phone horrible,0,negative
100,excellent router money,1,positive
101,xtra improves upon zen nx larger blue backlit screen infinitely better,1,positive
102,even better optional headset listen music integrated radio,1,positive
103,incredible memory,1,positive
104,6600 provide similar service developed area state well remote area,0,negative
105,1 ability selectively switch raw format record review give incredible post processing flexibility,1,positive
106,offense amazon able find one online 200 buck sure price continue sink also seemed quite good bargain amount storage space,1,positive
107,particularly like txt file record control information picture take,1,positive
108,one little minor flaw camera lens visible viewfinder detract image,0,negative
109,button phone small even small fingertip get used rather quickly,0,negative
110,fortunate get packaging still included accessory desk stand hard case belt clip wall charger etc,1,positive
111,stink ever like assumed since wrap diaper neat little cocoon,1,positive
112,luckily 3 rebate product cost nothing indeed worth nothing,1,positive
113,ripping song creating playlist could n easier,1,positive
114,subscription file still little slower transfer 10,0,negative
115,perfect phone u patience flip,1,positive
116,possibly biggest advantage player price n enough fact user replace battery opening lid popping new battery,1,positive
117,2 excellent picture quality simple use,1,positive
118,addition come sleek powerful headset,1,positive
119,take great picture,1,positive
120,button easy use easy navigate,1,positive
121,last one month rebate status showing rebate approved check delivered still waiting check,0,negative
122,printed several photo print look good screen view,1,positive
123,technical service helpful either read website charge 50 toll fee,0,negative
124,used frequently problem,1,positive
125,best part router dhaka server,1,positive
126,speakerphone option allows u long talk conveniently lying bed 38 phone lying pillow side,1,positive
127,think combination program size taking resource open close scanning every program,0,negative
128,first start saying player hardware pretty good,1,positive
129,never know champ full way tell even though particularly aesthetic making champ clear see lift lid find wad diaper must remove usually stuck inside lid bag full,0,negative
130,color screen plus polyphonic ringtones,1,positive
131,whatever negative touchy charging damage battery seriously decrease life upgrade firmware dont heed advice always plug player side cord plugging outlet side,0,negative
132,powershot g3 great camera,1,positive
133,4 megapixels enough anybody photo quality awesome,1,positive
134,well flash photo never great still lot noise,0,negative
135,3 folder created audio file,0,negative
136,best camera digital image want,1,positive
137,creative defiantly giving ipod run money device,1,positive
138,manual mode easy use fast access selection shutter speed aperture without fumble menu option,1,positive
139,one issue headphone jack unique nokia standard headphone work,0,negative
140,creative software stink,0,negative
141,read many review norton 2004 variety source cnet amazon message board came conclusion ni 04 terrible product worth update,0,negative
142,story everybody else trying get service apex nothing,0,negative
143,player 4 month happy,1,positive
144,several mp3 player past year say far best owned,1,positive
145,one bad thing though find remote control bit flimsy predict probably die player,0,negative
146,menu easy navigate button easy use,1,positive
147,im happier person discovering p button,1,positive
148,black fly wheel feel pretty cheap uncomfortable use,0,negative
149,terrible company bad product awful support,0,negative
150,customer service technical support overloaded non responsive tell quality product willingness stand behind,0,negative
151,pleased apex ad2600 play anything put drawer,1,positive
152,great price,1,positive
153,plunge lock power switch easily accessible must free hand routing,1,positive
154,manual mode feature rich wait get hang,1,positive
155,g3 feature would want semi pro pro slr good range manual option know something photography,1,positive
156,setup using cd easy learning open refrigerator door first time,1,positive
157,problem depth adjustment speed control collet tried 1 4 sleeve yet,1,positive
158,control easy use,1,positive
159,fit right pocket much easier old s30,1,positive
160,word awesome would describe camera,1,positive
161,couple time week seems cease access internet,0,negative
162,whether novice expert ease use functionality go together,1,positive
163,optical zoom work great 14x digital zoom nice addition although picture highest digital zoom little blurry,1,positive
164,lot little cute feature favorite game pim personal information manager e organizer radio,1,positive
165,ipod freeze occasionally especially annoying middle game brick,0,negative
166,base deeper high crisper,1,positive
167,gprs web access slow,0,negative
168,claim respond 24 hour period yet 2 week without reply,0,negative
169,daylight picture brilliant indoor shot good provided subject 8 foot away,1,positive
170,perfect blend accomplish task,1,positive
171,earbuds great headphone good ak studio 240 well good darn close,1,positive
172,transmission speed also quite good page loading quickly,1,positive
173,router cheapest market,0,negative
174,feature user interface,0,negative
175,imagine disappointment though zen micro proved able play mega strongest fm signal area,0,negative
176,however call constantly drop area experience mega static point dial number 6 7 time get clear line,0,negative
177,auto mode good enough shot 4300 also boast 12 versatile scene mode well manual mode though admit n played much manual,1,positive
178,purchased camera went sale minded keeping extra definitely worth,1,positive
179,many great feature bad one,1,positive
180,7 chic look good build player come compact form metal face plate,1,positive
181,b fast mediasource cd ripping take 40 second cd pentium 4 pc 2 4 hz 1gb ram 52x drive,1,positive
182,also assign special ring graphic special people call,1,positive
183,use home theater system amazing sound picture clarity unmatched,1,positive
184,another good thing camera seems introduce much le noise dark place others seen,1,positive
185,player several month read disc would recognize several disc clean read player friend season 2,0,negative
186,picture little dark sometimes,0,negative
187,battery life long enough take lot video clip play back camera lot time camera battery get little bit warm use long time normal,0,negative
188,mean short,0,negative
189,also liking gel case,0,negative
190,finger kind stubby took learn hit key without hitting adjacent one,0,negative
191,decent battery average size 40gb come dock,1,positive
192,bought trip bun aries also used iguassu fall could asked perfect performance,1,positive
193,placement button software user interface near perfect,1,positive
194,easy setup plenty power hog anything encountered,1,positive
195,sound quality superb much better ipod opinion,1,positive
196,finally read post somewhere code useless apex 2600,0,negative
197,among weak point mmc slot location bit vague design,0,negative
198,creative lab zen xtra feature pod get amazon going pay 300 great player,1,positive
199,7 picture quality excellent,1,positive
200,camera closest perfect diagram 4 5 megapixel,1,positive
201,two week picture kept freezing,0,negative
202,never odor problem,1,positive
203,total price delivery free shipping 135,1,positive
204,pretty comfortable stay place deliver decent audio quality,1,positive
205,view finder show crystal clear picture look even better get computer,1,positive
206,granted used dvd player 2 hour setting mom christmas long enough find problem dvd player,0,negative
207,price considering purchasing spare backup,1,positive
208,linksys costlier others home consumer division disco,0,negative
209,little overview powershot g3 flagship canon powershot series slr like camera 4 megapixel almost full manual control give picture touch brilliance,1,positive
210,also nomad 14 hour battery life versus 8 handy,1,positive
211,disadvantage camera trouble autofocus occasional picture especially quick candid shot start shot quick,0,negative
212,button size ok wife granny,0,negative
213,mobile service able take pic drove across 70 email family friend reached mobile tone usually major city,1,positive
214,much feature ipod except game,0,negative
215,pleased far,1,positive
216,unit well structured button need none n,1,positive
217,without tweaking exposure accurate color realistic ive ever seen produced film raw image,1,positive
218,used 35mm camera find g3 comfortable friendly use,1,positive
219,changing track information lot cd database information utilized software mediocre best,0,negative
220,ive phone year best phone owned,1,positive
221,conclusion gave ipod 4 5 anything expensive would work flawlessly,1,positive
222,searched program online tech support worthless found solution,0,negative
223,large easy readable screen,1,positive
224,best purchase made long time,1,positive
225,player looked good right box offering lot feature good styling,1,positive
226,look feel black one contrasting neon blue button add nice ambiance,1,positive
227,easy use flip lid diaper gone,1,positive
228,picture fabulous short learning curve ton feature n even gotten,1,positive
229,since small big deal bring,1,positive
230,however ultracompact allows photographer personalize shooting preference variety preset user definable mode,1,positive
231,micro seemed like ipod le,1,positive
232,biggest concern found nokia phone lower quality construction lead lower price also last long,0,negative
233,digic ii chip help lot,1,positive
234,small,1,positive
235,11 minimal pause song le device good achievement hard drive based player,1,positive
236,zen impressive purchase would highly recommend anyone using napster,1,positive
237,9 3x built optical zoom lot price range,1,positive
238,hard case give must work well,1,positive
239,many capability always room new technology evolve,1,positive
240,unfortunately wrong,0,negative
241,pleased router would buy,1,positive
242,thing experience problem player freezing playing able clear opening blowing canned air,0,negative
243,high resolution screen easy read backlight,1,positive
244,deficiency zennx easily overcome 3rd party earphone 20 software 25,0,negative
245,possibility auto manual helpful scene mode offer 11 optimized situational setting like portrait landscape beach snow sunset etc endless,1,positive
246,actually creative zen micro solves,1,positive
247,went put new sd card looked lcd screen cracked fluid gave jackson pollock type appearance screen black blue purple blotch streak useless,0,negative
248,overall disappointing product,0,negative
249,player software easy use good,1,positive
250,sound great,1,positive
251,easiest thing setup thought 16 said buy router,1,positive
252,right creative software transfer subscription music file slowly,0,negative
253,nokias always good sound quality exception,1,positive
254,second might problem might pc sure player connected usb start playing also using window explorer sometimes pause try synchronize pc play bit irritating,0,negative
255,short nokia 6600 evolution revolution,1,positive
256,eating solid odor escaping constantly using freshener,0,negative
257,like performance phone every regard would buy another one solely upon apparent indestructibility,1,positive
258,7 360 panoramic picture big deal,1,positive
259,scouring various board find arbitrary pervasive problem,0,negative
260,scroll wheel finicky work time learning curve pressing right new user say 50 75 success rate find frustrating return device,0,negative
261,amazed photo quality print indistinguishable 35mm print,1,positive
262,6610 excels cell phone thank god,1,positive
263,owned router 8 year somewhat satisfied,1,positive
264,2 storage capacity,1,positive
265,rate plan also good least,1,positive
266,long reboots due norton taking forever boot,0,negative
267,compact digital camera especially useful little child around always take camera take many picture,1,positive
268,likewise heard norton 2004 professional version fine,1,positive
269,love create custom playlist organize music many different way,1,positive
270,far durable little pad earbuds really necessary find comfortable,1,positive
271,like auto fit feature stretch wide screen dvd normal,1,positive
272,sure read spec see everything best thing easily check email movie time news website phone,1,positive
273,sometimes press button menu appears second two,0,negative
274,learn change setting make quality even better,1,positive
275,fortunately g3 hot shoe take external flash fortunately already owned one highest quality external flash money buy met 60 ct 4,1,positive
276,better camera none anywhere near light compact,1,positive
277,two limitation knew would deal long lag time focus lock even bright light unsatisfactory light quality built flash,0,negative
278,read installation instruction ni 2004 navy 2004 prior installation still ended result junk software,0,negative
279,give 4 5 star possible since 5 star would misleading give 4 star,1,positive
280,nomad zen could use little sturdier construction like archos jukebox kind shock resistant case,0,negative
281,phone big seller size fit nicely pocket without falling,1,positive
282,installation near automatic,1,positive
283,versatile seems one best,1,positive
284,however purchasing 20 gb ipod clear see superiority,1,positive
285,retraction said mine silver plate display,1,positive
286,another good feature charge battery connecting player computer using usb cable,1,positive
287,use ripping cd pretty good job,1,positive
288,done quite pleased see corner needed decently covered signal,1,positive
289,diaper champ best,1,positive
290,nice thing bit much weight power easy handheld use spindle lock make awkward bit changing outside table 1 4 chuck sleeve requires much tightening keep bit slipping,0,negative
291,giving zero star symantec version,0,negative
292,even firmware update roommate loose wireless connectivity,1,positive
293,like local station stern npr radio seemed like great option,1,positive
294,height convenient reach others hunch,1,positive
295,sent back think speed control either poorly designed defective,0,negative
296,instruction encrypt personal wireless network one else end hogging stealing bandwidth,1,positive
297,one outstanding positive feature battery hold charge long time longer similar product user replace easily take another along backup,1,positive
298,cd ripping mp3 easy even rip cd directly mp3 player wo n take space pc hard drive,1,positive
299,hand someone n yield good result idiot program auto mode,1,positive
300,removable cheap battery li battery usually work properly 1 3 year,1,positive
301,also included game section great music trivia option test skill able quickly place song,1,positive
302,second automatic sync creative let review song begin transfer,1,positive
303,left right would given better control,0,negative
304,along way compared wife t720i 6600 superior term battery life connectivity bar feature,1,positive
305,one color display like lot visual,1,positive
306,nice little phone light compact,1,positive
307,also battery user replaceable,0,negative
308,seem fewer collision dropped packet read router log old dlink router,1,positive
309,extremely glad bought camera,1,positive
310,b screen hard read cover hide already annoying poorly lit display,0,negative
311,know unit problem future 40 2 year question asked replacement warranty worth since creative warrant 90 day totally ridiculous,0,negative
312,creative lab customer support website useless,0,negative
313,far better trash diaper genie fairly inexpensive baby product go,1,positive
314,flash built flash small camera get illuminated main subject depth lost,0,negative
315,even navigate genre artist album since genre get track genre division,0,negative
316,used daily none problem reported reviewer headphone jack player locking etc,1,positive
317,anyone thinking getting ipod mini forget go player,1,positive
318,heaviest around think porter cable distinction found combination weight power really much allow precise handheld operation,0,negative
319,even viewed cd full jog,1,positive
320,lot flaw exceptional sound quality hd size price make good buy,1,positive
321,mediasource recognize tag,0,negative
322,problem found internet service access mil real estate broker software well,0,negative
323,software come player good,0,negative
324,actually purchased two phone recently one new blackberry phone one far superior imho,1,positive
325,software get camera perfect,1,positive
326,far difficult select song easy use fly playlist creation new ipod mention n since contact list phone number address book etc like ipod eliminated need kind palm device,0,negative
327,well made powerful tool,1,positive
328,could hardly use without recharge 2 day,0,negative
329,play format check buy play,1,positive
330,norton internet av 2004 terrible right get go think steelworks ok remain ok,0,negative
331,also use itunes sue dammit itunes good anything,1,positive
332,want great deal great mp3 player get nomad,1,positive
333,well within 45 day video output quit working rca optic,0,negative
334,plug play relies id3 fm recording,0,negative
335,earbud headphone really nice,1,positive
336,battery compared player market ipod one worst battery around,0,negative
337,price compared ipod great,1,positive
338,good quality video,1,positive
339,3 work automatically like hard drive connect computer like player,0,negative
340,hour start skipping like dvd dirty,0,negative
341,image quality excellent,1,positive
342,n easy fast forward pause song regular walkman,0,negative
343,dvd player work properly,0,negative
344,software great,1,positive
345,could better perfect camera competitor better purple fringing detail high light area noise iso100 red eye processing artefact loss detail especially hair people low light automatic autofocus whizzing video playback better video compression smaller viedo file manual control longer lasting battery indicator battery better protection lcd le weight,1,positive
346,hitachi made malaya looked cheap compared makita made usa,1,positive
347,software software come along intuitive used job well,0,negative
348,phone best battery last longer old 3210,1,positive
349,backlight phone go way quickly dangerous driving night way change,0,negative
350,4300 durable compact package find nikon brand trust,1,positive
351,complaint marginal one apple proprietary set music file incompatibility music service e napster right wrong,0,negative
352,screen large easily read,1,positive
353,norton online support even acknowledge problem computer company preloaded new computer,0,negative
354,built like tank yet nimble enough comfortably used leigh dovetail jig,1,positive
355,canon software raw image present raw image raw image processed image affecting setting camera,0,negative
356,come 16 mb compact flash one rechargable battery charging unit included fast small,1,positive
357,size tiny love,1,positive
358,however detailed pdf manual cd online answer question operational feature zen micro,1,positive
359,really happy little camera,1,positive
360,first let say much smaller look web also look better,1,positive
361,apex still responded email describing problem almost week customer service line always busy,0,negative
362,addition seems work five foot away player although may battery came,0,negative
363,getting one christmas amazon believer digital elph truly world smallest digital camera shoot great picture,1,positive
364,durability good first problem seen news recently ipod recalled battery problem lasting advertised 18 month,0,negative
365,small unlike canon slr easily fit pocket,1,positive
366,small digital elph rather one camera better resolution picture quality size 2,1,positive
367,gave zen 5 star excellent class really appropriate rate based player different class,1,positive
368,wizard particularly sinister,0,negative
369,phone one phone fm radio tuner built,1,positive
370,minute easily navigating menu,1,positive
371,best dvd player purchased,1,positive
372,product month yesterday stopped working,0,negative
373,2 body construction button casing etc plastic,0,negative
374,looking 3hp plunge router hitachi m12v best bet stretch equipment budget,1,positive
375,played one three dvd without problem two afflicted number glitch,0,negative
376,transferred 2 400 track far easy use ipod itunes,1,positive
377,creating modifying playlist easy clean,1,positive
378,bought camera two day ago pleased say worth money,1,positive
379,sennheiser 497 headphone volume loud enough 12 max 20,1,positive
380,case strong stylish unfortunately lack window big deal,0,negative
381,since received phone spent countless hour phone customer service rep promised zone would work 24 hour,0,negative
382,disappointed fact seem read certain dvd,0,negative
383,control somewhat harder use ipod gotten use even beginning think would justify huge difference price,0,negative
384,get drawn mobile catchy rebate,0,negative
385,attempted connect unit several different tv using multitude connection method still get video signal machine,0,negative
386,first zen let sync one computer,1,positive
387,lens retracts metal cover need fuss lens cap,1,positive
388,biggest red flag fact although cousin player relatively new riddled scratch,0,negative
389,computer owner since purchased mcgee anti virus 8 installs work fine problem,1,positive
390,bought canon g3 month ago say satisfied,1,positive
391,finally amazon free shipping really getting good took 3 working day player reach,1,positive
392,professional used norton year product complete utter dud,0,negative
393,item exceptional like ease use held odor great,1,positive
394,willing accept shoddy construction something paid 250 dollar,0,negative
395,zen micro smaller look picture feel solid,1,positive
396,feature really cool like radio,1,positive
397,would anyone buy get 20gb ipod hold 4 time number song even aac encoding used price,0,negative
398,odor extremely easy use,1,positive
399,print beautiful,1,positive
400,far software pc work easily,1,positive
401,network coverage sporadic network always seems overloaded resulting unpleasant calling experience,0,negative
402,buy diaper champ,0,negative
403,inside pic bit challenging instantly delete pic dont like focused perfectly need lighting adjustment make camera simple effective,0,negative
404,still believe fast start,1,positive
405,battery life le stellar charge w quickness,1,positive
406,equalizer iriver h10 20gb lot presets ipod,0,negative
407,dad also apex tv another great value money,1,positive
408,access internet,0,negative
409,easy toddler would dispose diaper,1,positive
410,playlist made fly without aid computer use play mode like shuffle repeat playing selection playlist,1,positive
411,intuitive program,1,positive
412,3660 similar feature big size,1,positive
413,battery power discharge rapidly especially using web browser,0,negative
414,even waterproof housing small,1,positive
415,end day wanted large capacity player allows easily play album collection wherever go zen xtra combination price capacity feature easily meet criterion,1,positive
416,second menu system control poorly designed,0,negative
417,still terrible software,0,negative
418,easy beginner use feature serious photographer love excellent camera grow,1,positive
419,telling rep tech supervisor problem answer uninstall program already done,0,negative
420,4 mp give room future gaining experience cost offset time wanting camera 3x optical fact carry nikon quality reputation behind make whole package prove worth wile price,1,positive
421,5 star piece equipment,1,positive
422,read issue scroll bar must taken care,0,negative
423,one size smaller ipod mini hold music 5gb ipod mini 4gbs,1,positive
424,even normal setting 8x10 print show single sign visible rendering pixel could never tell picture taken digital,1,positive
425,said regret purchase,1,positive
426,work love,1,positive
427,many complained software included opinion easy use effective,1,positive
428,wanted something play dvd machine feature probably never use nice know,1,positive
429,auto mode function basically point click scene mode easy use produce good result,1,positive
430,often struggled get something work way want hate carry manual time,0,negative
431,1 customer service 6 call half efficient half equally incompetent,0,negative
432,make life lot easier preclude give product negative review,1,positive
433,obviously quality reliability problem,0,negative
434,thing n like 2600 make color look saturated,0,negative
435,tried uninstall norton internet security week ago let either,0,negative
436,support le impressive considering cost,0,negative
437,pc software come player simple tune bad,0,negative
438,true nokia style phone simple use despite delicate appearance little guy durable nokias owned,1,positive
439,love phone especially using primitive phone 3 year,1,positive
440,setup breeze reservation wireless network see review linksys wet11 item sale well wet11 splurge,1,positive
441,first thought isolated incident proven wrong player would read alias dvd well,0,negative
442,smooth plunging stick bit sprayed w lubricant,1,positive
443,window xp pro installing enclosed software receive message problem installing driver,0,negative
444,control menu clearly displayed easily fathomed,1,positive
445,learn truth phone work palm pda,0,negative
446,internet function phone wap gprs work mobile service deleted menu option would enable configure phone used different network,0,negative
447,sometimes need minute open application,0,negative
448,glad see ed revised previous statement regarding image quality,1,positive
449,player ear phone jack working send away,0,negative
450,registered item good review got however impressed,0,negative
451,downloaded trial version computer associate ex firewall antivirus fell love computer security system,1,positive
452,sound quality wonderful really like smart volume sound normalization,1,positive
453,nice palm sized unit somewhat bigger ipod issue going try jog something,1,positive
454,secondly info sent computer w hassle usb wire,1,positive
455,working 10 hour shuffle totally rock,1,positive
456,movie mode record max 30 second 160x120 per clip max 4 second 640x480,0,negative
457,play dvd r unplayable older philip machine,1,positive
458,also let remove song play order,1,positive
459,hold scroll wheel long common lot song sort get stuck rapidly going song wo n stop several second let finger,0,negative
460,power quickly miss quick shot,1,positive
461,canon small definitely pocket size still easy hold firmly,1,positive
462,indefinitely appreciate small size,1,positive
463,25 dvd played problem watching movie picture freeze dvd still play eventually picture kick back skipping moment,0,negative
464,navigation could better n really anything zen xtra gotten comfortable,0,negative
465,plunge lift bit changing done table although still reach table operate spindle lock course speed control,0,negative
466,like router whole lot better linksys 11b router replaced signal strength seems ot much strainer seldom falling good range often excellent within 25 50 foot router,1,positive
467,someone asked flat say go woth something else,0,negative
468,dropped device several time onto hard surface still work flawlessly,1,positive
469,phone cool feature allows send image via normal pop3 smtp e mail account,1,positive
470,one downside though autofocus work well battery low,0,negative
471,bought apex 2600 dvd player christmas got good review good value money variety different site,1,positive
472,far 3 week problem diaper champ,1,positive
473,also cost lot le ipod,1,positive
474,loaded lot photo display clearly small screen importantly transition one photo next instantaneous,1,positive
475,software another great misfortune hard operate crash frequently screwed music library doesnt work mp4s list go,0,negative
476,two minor issue camera lens cap snug come easily lens partially obstructs view viewfinder view lcd,0,negative
477,summary love camera would whole heartedly recommend anyone wanting high quality point shoot camera medium price range,1,positive
478,removable battery,1,positive
479,found using mediasource load song nomad jukebox much easier faster using window explorer,1,positive
480,first really tiny size pack cigarette maybe scotch deeper,1,positive
481,amazon wonderful picking next day paying return shipping,1,positive
482,4 one nice thing nokias ton ring tone game choice,1,positive
483,took perfect care player still died week lousy 90 day warranty ended,0,negative
484,still one smallest 2mp digital camera market absolutely one best built stylish camera ever,1,positive
485,control hard manipulate especially dark,0,negative
486,hear sound picture,0,negative
487,ready upgrade discovered canon going come even smaller digital camera higher resolution s100,1,positive
488,trying save money player resulted shelling great deal purchased much nicer dvd vcr combo player make blazing creepiness embarassing gift,0,negative
489,cool thing ad 2600 play alot different file like mp3 wma cd jpeg kodak picture cd dvd dvd r,1,positive
490,first cell phone owned overall quite pleased,1,positive
491,small,1,positive
492,price capacity,1,positive
493,zen life audio quality love expect,1,positive
494,con n really big deal except one con annoy way store file folder structure based title song many song separated folder pc title change title make sure n might another,0,negative
495,transfering mp3s cinch included software,1,positive
496,least starting photo realistic image ive ever seen camera,1,positive
497,find control well placed flimsy least,1,positive
498,nothing hassle company,0,negative
499,feature really feature unless call game feature,0,negative
500,decent piece hardware great speed get speed comp connected directly modem good signal quality,1,positive
501,3 nomad explorer winxp style interface work well transfer file back forth use nomad external although tech support web site state primary intended purpose player player,1,positive
502,auto setting great job time manual setting want,1,positive
503,well ipod mini really like like zen micro,1,positive
504,since use table use plunge feature ever need got,1,positive
505,4 viewfinder bordered lcd skying,0,negative
506,used 3 month,0,negative
507,look sleek compact radio,1,positive
508,dvd player fine,1,positive
509,perfect size beat competition leap bound,1,positive
510,great camera price beat,1,positive
511,would inclined purchase apex product,0,negative
512,tried use fm radio option seem really pick station listen however going try different location may residential location,0,negative
513,bought player week like far,1,positive
514,touchpad annoying sometimes give click wheel pres sable button day difficult get people saying,0,negative
515,contains smell baby diaper use kind bag inside,1,positive
516,canon g3 perhaps best 4mp camera,1,positive
517,camera canon great calorimetry plus see lcd get,1,positive
518,transfering could get song completely transfer via usb 1 1 2 0,0,negative
519,apple closed island anything resembled microsoft clearly let napster know could use product napster service,0,negative
520,brief synopsis phone tiny cute feel kind plastic like might break seems pretty sturdy,1,positive
521,bought phone trip south africa worked almost perfectly,1,positive
522,see many review say stay away norton deserve anyone,0,negative
523,dropped least dozen time recollection still work good ever,1,positive
524,overall pleased product,1,positive
525,finally week use screen started freeze,0,negative
526,since zen external antenna problem catching weak signal work,0,negative
527,holy cow really scratch easily,0,negative
528,program fully featured much want security program,1,positive
529,phone advantage excellent keypad display long rundown time good software suite,1,positive
530,thought player started checking disc find apex 2600 actually ruining medium,0,negative
531,ended buying one upstairs one downstairs work well change often downstairs,1,positive
532,far better others market,1,positive
533,control player simple need manual,1,positive
534,think saving 40 getting hitachi right also getting router worth 40 le makita,0,negative
535,creative product playback quality unbeatable,1,positive
536,tried set advanced feature router difficult set basic use,1,positive
537,definitely great camera,1,positive
538,return remote product appeared defective,0,negative
539,give create creative attractive design,1,positive
540,overall best point shoot camera used,1,positive
541,often mentioned scroll tab average however difficult use horrible,1,positive
542,read whole manual find even cool feature learn manipulate quality want achieve mode make sense reading,1,positive
543,perfect camera photo hobbiest want easy point shoot ability well,1,positive
544,best wmas lot sound great,1,positive
545,although supplied software annoying time whole excellent,1,positive
546,matter accustomed phone become much time required get open close application,0,negative
547,also stock tracking app built also useless somewhat useful application convert type metric currency length area etc,0,negative
548,camera perfect person want compact camera produce excellent photo situation,1,positive
549,option caller id picture individualized ringtones,0,negative
550,plug er get stuck manually extract mess,0,negative
551,complicated feature menu easily accessible quality feature great,1,positive
552,photo address book terribly scaled look though built lego,0,negative
553,new firmware update allows automatic wireless network configuration,1,positive
554,wireless component bought breeze set well,1,positive
555,6610 radio function utterly useless,0,negative
556,included earphone pretty good advice,1,positive
557,rugged phone ever gon na play airplane,1,positive
558,functionality camera mind blowing,1,positive
